Station Name, x, y
Pragati Maidan Metro Station, 28.623186	,77.242761
Pratap Nagar Metro Station, 28.666634,	77.199062
Preet Vihar Metro Station, 28.641646,	77.295307
Pul Bangash Metro Station, 28.666398,	77.207372
Punjabi Bagh Metro Station, 28.672904,	77.146269
Qutab Minar Metro Station, 28.512942,	77.186349
Rajdhani Park Metro Station, 28.682357,	77.043763
Rajendra Place Metro Station, 28.642456,	77.178082
Rajiv Chowk Metro Station, 28.632862,	77.219542
Rajouri Garden Metro Station, 28.649209,	77.122449
Ramakrishna Ashram Marg Metro Station, 28.639268,	77.20845
Ramesh Nagar Metro Station, 28.652717,	77.131547
Rithala Metro Station, 28.720844,	77.107121
Rohini East Metro Station, 28.70767,	77.125875
Rohini Sector 18, 19 Metro Station, 28.738394,	77.139866
Rohini West Metro Station, 28.714935,	77.115419
Saket Metro Station, 28.520482,	77.201521
Samaypur Badli Metro Station, 28.745447,	77.137127
Sarai Metro Station, 28.662857,	77.185494
Sarita Vihar Metro Station, 28.528782,	77.288256
Satguru Ramsingh Marg Metro Station, 28.662186,	77.157773
Sector 28 Metro Station, 28.438275,	77.308963
Seelampur Metro Station, 28.6699,	77.266646
Shadipur Metro Station, 28.651558,	77.158194
Shahdara Metro Station, 28.673466,	77.289091
Shastri Nagar Metro Station, 28.670048,	77.181856
Shastri Park Metro Station, 28.66832,	77.250287
Shivaji Park Metro Station, 28.674965,	77.13045
Shivaji Stadium Metro Station, 28.628788,	77.211406
Sikandarpur Metro Station, 28.481315,	77.092888
Subhash Nagar Metro Station, 28.640446,	77.104918
Sultanpur Metro Station, 28.49926,	77.161368
Surajmal Stadium Metro Station, 28.681879,	77.073985
Tagore Garden Metro Station, 28.643895,	77.11283
Tilak Nagar Metro Station, 28.636587,	77.096466
Tis Hazari Metro Station, 28.667094,	77.216534
Tughlakabad Station, Metro Station, 28.502311,	77.299145
Udyog Bhawan Metro Station, 28.611014,	77.212244
Udyog Nagar Metro Station, 28.681048,	77.080864
Uttam Nagar East Metro Station, 28.62478,	77.065125
Uttam Nagar West Metro Station, 28.621734,	77.055818
Vaishali Metro Station, 28.649947,	77.339711
Vidhan Sabha Metro Station, 28.687908,	77.221736
Vishwa Vidyalaya Metro Station, 28.694721,	77.214603
Welcome Metro Station, 28.671871,	77.277959
Yamuna Bank	Station, 28.623247,	77.267903
